.wav file,Filtering,Correlation,Zero Crossing,Strict Zero Crossing,Windowed Zero,Peak,Derivative,Goertzel (100%),Goertzel Optimized window,PLL,PreClocking,Goertzel PreClocking,Goertzel Max Preclocking,AGWPE,OT2,OT3,OT USB,OT3 Micro,Kam,My Kam Plus,Kam Plus,MFJ-1278,My PK-88,PK-88,PK-232,PK-232MBX,Multi (Correlation Bandpass and Correlation 6dB),Multi + PreClocking,,,,MAX,File Length
OT3Test,None,40,35,40,39,3,40,40,40,40,0,40,40,40,40,40,39,40,40,40,40,40,40,40,40,40,40,40,,,,40,20
,Bandpass,40,19,0,0,0,33,40,40,40,40,28,40,,,,,,,,,,,,,,,,,,,40,184
,Bandpass w/ 6db,40,12,40,0,0,14,40,40,0,39,15,40,,,,,,,,,,,,,,,,,,,40,20
SoftwareGenerated200,None,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,193,199,200,200,200,200,200,,200,200,200,200,,,,200,1549
,Bandpass,200,27,200,0,0,200,200,200,200,200,106,200,,,,,,,,,,,,,,,,,,,200,1549
,Bandpass w/ 6db,200,200,200,0,0,200,200,200,200,200,199,200,,,,,,,,,,,,,,,,,,,200,1/2/1900 7:22
OT3TestWithNoise,None,24,0,6,0,0,3,17,25,21,0,10,27,21,5,16,13,12,20,12,12,5,25,25,12,18,24,24,,,,27,
,Bandpass,24,6,2,0,0,5,21,23,23,17,11,26,,,,,,,,,,,,,,,,,,,26,
,Bandpass w/ 6db,11,1,9,0,0,4,8,6,14,6,5,18,,,,,,,,,,,,,,,,,,,18,
LATrack1,None,946,460,568,298,0,543,935,965,925,0,564,806,967,947,937,869,830,988,958,985,837,981,1007,918,964,966,966,,,,1007,
,Bandpass,964,536,151,0,0,422,941,965,654,939,431,813,,,,,,,,,,,,,,,,,,,965,
,Bandpass w/ 6db,914,53,422,0,0,97,613,512,189,482,224,795,,,,,,,,,,,,,,,,,,,914,
LATrack2,None,639,0,0,162,0,5,411,608,0,0,390,,497,927,445,633,263,938,967,998,937,866,633,929,799,962,972,,,,998,
,Bandpass,872,0,0,0,0,0,401,448,0,939,230,,,,,,,,,,,,,,,,,,,,,
,Bandpass w/ 6db,958,209,74,0,0,254,946,956,0,947,392,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
